Country Name,Country Code,Series Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Indonesia,IDN,Forest area (% of land area),54.50131102,53.99000867,53.47870632,52.96740396,52.45610161,50.74345453,50.03933382,49.71681778,49.39429641,49.07178037
"Iran, Islamic Rep.",IRN,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.915661344,0,0,0,0,0
"Iran, Islamic Rep.",IRN,Forest area (% of land area),6.564490778,6.564490778,6.564490778,6.564490778,6.564490778,6.570691815,6.575916648,6.586010216,6.596103784,6.601261082
Iraq,IRQ,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.056823136,0,0,0,0,0
Iraq,IRQ,Forest area (% of land area),1.89952109,1.89952109,1.900361184,1.900361184,1.900361184,1.900361184,1.900361184,1.900361184,1.900361184,1.900361184
Ireland,IRL,Annual deforestation (% of change) - (for online table only),0,0,0,0,-1.152407215,0,0,0,0,0
Ireland,IRL,Forest area (% of land area),10.55651038,10.65606039,10.75561039,10.8551604,10.95471041,11.06619248,11.17752939,11.23559297,11.29365655,11.35172013
Isle of Man,IMN,Annual deforestation (% of change) - (for online table only),0,0,0,0,0,0,0,0,0,0
Isle of Man,IMN,Forest area (% of land area),6.070175439,6.070175439,6.070175439,6.070175439,6.070175439,6.070175439,6.070175439,6.070175439,6.070175439,6.070175439
Israel,ISR,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.504652788,0,0,0,0,0
Israel,ISR,Forest area (% of land area),7.218114603,7.319778189,7.421441774,7.52310536,7.624768946,6.469500924,6.469500924,6.469500924,6.469500924,6.469500924
Italy,ITA,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.703512198,0,0,0,0,0
Italy,ITA,Forest area (% of land area),30.87593663,31.05886993,31.24180322,31.42473652,31.60766982,31.79060991,31.97355001,31.76875021,31.94948443,32.13021865
Jamaica,JAM,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.112348912,0,0,0,0,0
Jamaica,JAM,Forest area (% of land area),51.91615882,52.26722068,52.61828255,52.96934441,53.32040628,53.67867036,54.0378578,54.39704524,54.75530933,55.11449677
Japan,JPN,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.021941933,0,0,0,0,0
