Heavily indebted poor countries (HIPC),HPC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.941455007,3.272500038,3.055380106,3.925139904,4.077355146,4.523084879,,,,,,,
High income,HIC,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.820155144,4.969580173,5.213424921,5.120269775,4.946400166,5.040480137,5.123250008,,,,,,
Honduras,HND,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,5.87493,7.09012,6.41297,,,6.06746,,
"Hong Kong SAR, China",HKG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,3.9037,4.01554,3.41822,3.50961,3.76032,3.57255,3.26212,3.29265,3.3101,3.32652,3.81058,
Hungary,HUN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.8684,4.93101,5.17923,4.59011,4.16386,4.19773,4.61743,4.51866,4.65539,4.6671,,,
IBRD only,IBD,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Iceland,ISL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.44717,6.73002,7.31757,6.81823,7.59636,7.49122,7.68858,7.51291,7.49521,7.65822,,,
IDA & IBRD total,IBT,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
IDA blend,IDB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
IDA only,IDX,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
IDA total,IDA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
India,IND,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.32479,,,3.79618,3.8675,3.84467,,,,,,,
Indonesia,IDN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,2.46003,2.64569,3.18944,3.40748,3.35904,3.28801,3.5836,,,,,
"Iran, Islamic Rep.",IRN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.03064,4.07168,4.48488,3.48497,3.16859,3.06795,2.80135,2.79739,3.36576,3.7904,3.95536,,
Iraq,IRQ,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Ireland,IRL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.13664,4.09187,4.10604,5.85826,5.76573,5.33461,4.88139,3.75829,3.71973,3.50686,,,
Isle of Man,IMN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Israel,ISR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.11802,6.37691,6.46638,5.56688,5.69981,5.88489,5.79265,5.8673,5.85713,6.09262,,,
Italy,ITA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.29108,4.65009,4.43241,4.11568,4.05602,4.14367,4.06128,4.07363,3.81579,4.04494,,,
Jamaica,JAM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.98347,5.38103,5.37523,6.26664,6.11246,6.25108,6.01654,5.45577,5.31508,5.26062,5.41478,5.16919,
Japan,JPN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.51617,3.45707,3.46537,3.64258,3.69226,3.66538,3.59059,,3.18618,3.18218,,,
Jordan,JOR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,3.51412,3.28405,3.03435,3.07253,
Kazakhstan,KAZ,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.25662,,3.0297,,,,,2.78858,2.9781,2.75082,2.61595,,
Kenya,KEN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.18673,5.20621,6.172,5.33529,5.50904,5.41138,5.28021,5.27134,5.36267,5.36668,5.30625,,
